taxa	location
KR063671|Yambuku-Mayinga|DRC|1976-10-01	2.825189 22.225477
KC242791|Bonduni|DRC|1977-06	2.97329 19.349632
KC242792|Gabon|Gabon|1994-12-27	-0.183 12.2
KU182905|Kikwit-9510621|DRC|1995-05-04	-5.040142 18.816314
KC242793|1Eko|Gabon|1996-02	0.7498 13.1108
KC242798|1Ikot|Gabon|1996-10-27	-0.093729 11.949203
KC242800|Ilembe|Gabon|2002-02-23	0.700361 14.15494
KF113529|Kelle_2|COG|2003-10	0.428506 14.696145
HQ613403|M-M|DRC|2007-08-31	-5.240951 21.41033
HQ613402|034-KS|DRC|2008-12-31	-5.240951 21.41033
KJ660347|Makona-Gueckedou-C07|Guinea|2014-03-20	8.617679 -10.06135
KP271018|Lomela-Lokolia16|DRC|2014-08-20	-0.284184 20.884538
MH613311|Muembe.1|DRC|2017-05	3.363367 23.887317
MH733477|BIK009-Bikoro|DRC|2018-05-10	-0.731472 18.140101
MK007330|18FHV090-Beni|DRC|2018-07-28	0.605095 29.309721
OR084849|Mandaka|DRC|2020-05-31	0.036366 18.267122
OR084846|MBK67|DRC|2020-06-12	0.036366 18.267122
|22MBK-004|DRC|2022-04-25	0.036366 18.267122
PP_003RXHG|25fhv173|DRC|2025-09-01	-4.552565549755746 21.677611191614616
